probabilities,true_labels
0.32788998,0
0.40796003,1
0.21441017,0
0.58599913,0
0.760569,0
0.86888856,1
0.1611689,0
0.7696694,1
0.7712624,0
0.85428053,1
0.037922725,0
0.291572,0
0.08048781,0
0.102927744,0
0.78729826,0
0.7535704,0
0.13851385,0
0.3209286,0
0.24978085,0
0.16385,0
0.328378,0
0.34688014,1
0.7425269,1
0.78048426,1
0.66374373,1
0.7803476,1
0.36200428,0
0.77390695,0
0.24038279,0
0.81307197,1
0.020947943,0
0.7573826,1
0.23382054,1
0.70169806,0
0.49750835,0
0.22490449,0
0.107094854,0
0.39525834,0
0.18019044,0
0.13032037,0
0.5116683,0
0.8628062,1
0.07797962,0
0.82383716,0
0.74023294,0
0.11171401,0
0.24504602,0
0.8043963,0
0.6609457,1
0.856732,1
0.5391387,0
0.29466024,0
0.024450343,0
0.25613803,0
0.024907354,0
0.4537031,0
0.8155548,0
0.81353056,1
0.8306543,1
0.15962008,0
0.3781898,0
0.8865563,1
0.22572882,0
0.6850476,0
0.04907272,0
0.660968,1
0.15262213,0
0.017033648,0
0.7736525,1
0.7438007,1
0.86617035,0
0.77947867,1
0.87765974,1
0.3543037,1
0.7422285,0
0.096274465,0
0.2122837,0
0.07611024,0
0.8441311,1
0.22005989,0
0.3032482,0
0.021989502,0
0.18672904,1
0.6440766,0
0.2593703,0
0.8673688,1
0.1586016,0
0.3236734,1
0.507762,0
0.23452759,0
0.10405482,0
0.7562597,1
0.8433255,0
0.75109273,1
0.7395586,0
0.0039530313,0
0.39023432,0
0.48653695,0
0.26897725,0
0.710142,1
0.6837021,1
0.7935909,1
0.11125411,0
0.5109571,1
0.7065309,1
0.83664894,1
0.8156254,1
0.8379502,1
0.37956375,1
0.8379971,1
0.8337745,0
0.8388872,1
0.30981356,0
0.09279134,0
0.0016711472,0
0.62522733,1
0.8382757,1
0.7793021,1
