probabilities,true_labels
0.7876818,1
0.5114825,1
0.4117897,0
0.12496977,0
0.7712205,1
0.62708604,1
0.27756184,0
0.3092634,1
0.21303307,0
0.6877498,1
0.13390318,0
0.3244621,0
0.42318648,1
0.34432802,0
0.66468596,1
0.6088046,1
0.768654,1
0.6011971,0
0.57035536,1
0.47879618,0
0.17710443,0
0.5138827,0
0.32906833,0
0.6801727,1
0.42093295,0
0.7668522,0
0.35198334,1
0.046178825,0
0.3827737,1
0.5946335,1
0.04251093,0
0.17233169,0
0.2799099,0
0.048560224,0
0.038915087,0
0.17328362,0
0.5391348,0
0.24186082,0
0.22327529,0
0.3751031,1
0.13552333,0
0.31610343,1
0.13096629,0
0.102203436,0
0.19396551,0
0.24630979,0
0.7413187,1
0.5909724,1
0.3443168,0
0.8013578,1
0.63224417,1
0.47471118,0
0.18490218,0
0.2919092,0
0.2488282,0
0.34602705,0
0.38759038,1
0.8072406,1
0.26580238,0
0.16739328,0
0.72656727,0
0.52332157,0
0.41789895,0
0.13961338,0
0.6298501,0
0.83768713,0
0.86526525,1
0.64768964,0
0.6944698,0
0.053787444,0
0.03195314,0
0.20857629,1
0.82902104,1
0.76779,1
0.09629804,0
0.57664853,0
0.1695344,1
0.8502251,0
0.7881512,1
0.053413462,0
0.55354863,0
0.07828472,0
0.24056794,0
0.25153205,0
0.46391708,0
0.2890252,0
0.019121286,0
0.43324816,0
0.07137549,0
0.19364962,0
0.2627461,0
0.2491351,0
0.6427068,1
0.5278779,0
0.72858876,0
0.1801082,1
0.17777862,0
0.4845331,0
0.11547317,0
0.18813644,0
0.7303874,0
0.4696406,0
0.24969573,1
0.30022702,0
0.3235348,1
0.58711076,0
0.08506695,0
0.12347577,0
0.3144492,1
0.73064154,0
0.4925386,1
0.7538767,1
0.005080579,0
0.74837685,1
0.22314382,0
0.7970595,1
0.16102089,0
0.85139185,1
0.8752849,1
0.8888141,1
0.72466284,1
0.50315446,0
0.35077727,0
0.82790303,1
0.09958771,0
0.5604068,1
0.7088941,0
0.009011077,0
0.24148309,1
0.3530617,0
0.71240443,1
0.18638998,0
0.7608799,1
0.7315523,0
0.80565387,0
0.3467214,0
0.6689007,1
0.20742582,0
0.805759,1
0.23365226,0
0.7884574,1
0.5451216,0
0.8021286,1
0.15833,0
0.22724906,0
0.77038866,1
0.41786543,0
0.8663874,1
0.8426854,1
0.88136524,1
0.16312435,0
0.87664837,0
0.28572533,0
0.8724807,1
0.2114899,0
0.3105806,0
0.09792766,0
0.20927203,0
0.5431443,0
0.19962013,0
0.7774501,1
0.62022793,0
0.081094384,0
0.14962478,0
0.5366303,0
0.16371357,0
0.8503966,1
0.30932507,0
0.03156111,0
0.04779345,0
0.8740905,1
0.010550643,0
0.86487126,1
0.7660704,0
0.005386595,0
0.48306027,0
0.8172874,1
0.8614422,0
0.8369618,0
0.6554203,1
0.38518843,1
0.6724823,1
0.5587333,0
0.8132608,1
0.72633135,0
0.3472877,0
0.581855,0
0.81573987,0
0.34237233,0
0.46862197,0
0.49124777,0
0.044521023,0
0.61371267,1
0.826093,1
0.038813584,0
0.14428762,0
0.24315555,1
0.1834547,0
0.17689276,0
0.5797097,0
0.2522365,0
0.6545202,1
0.7453169,1
0.74195796,0
0.5081503,1
0.33935052,0
0.9110233,1
0.46713623,1
0.9233448,1
0.39104146,1
0.55017155,1
0.6405482,1
0.12588659,0
0.095072,0
0.35630506,0
0.032214336,0
0.6668666,0
0.7801711,1
0.7349679,1
0.84485906,0
0.18124795,0
0.77450764,0
0.61466646,1
0.2884459,0
0.6814063,0
0.23232497,0
0.62202156,0
0.18349636,0
0.56643665,1
0.2021944,1
0.18620063,0
0.029489925,0
0.8568297,1
0.5938731,0
0.44505012,0
0.63859826,0
0.84772676,1
0.29102278,1
0.5575215,0
0.0035637429,0
0.78271806,0
0.12163167,0
0.86583644,1
0.016339423,0
0.26033077,0
0.6943607,0
0.24329582,0
0.5773255,1
0.16808711,0
0.32439178,0
0.44493863,0
0.1422138,0
0.016232686,0
0.75243694,0
0.09715536,0
0.8489782,1
0.11055524,0
0.13035995,0
0.20161454,0
0.7563366,1
0.0062186723,0
0.04839785,0
0.1516185,0
0.6599507,0
0.80995315,0
0.2047866,0
0.8059359,0
0.74619365,1
0.7774231,0
0.2176944,1
0.536488,0
0.31971192,0
0.8867824,1
0.26006597,0
0.13856131,0
0.59458274,1
0.35564792,0
0.7963828,1
0.82094115,1
0.3459403,0
0.10872845,0
0.80451375,1
0.7618097,1
0.40448517,0
0.29396766,0
0.107187495,1
0.73820966,1
0.07124006,0
0.29947582,0
0.80828047,1
0.8275054,1
0.46383908,0
0.69573814,0
0.0060623554,0
0.5126761,1
0.18758254,0
0.23196973,0
0.2550207,0
0.22768421,0
0.54549813,1
0.9126087,1
0.43524766,0
0.61753654,0
0.88248223,1
0.75516504,1
0.7869515,0
0.06955698,0
0.656531,1
0.026029497,0
0.77215123,1
0.84863067,1
0.13779978,0
0.21427138,0
0.07741023,0
0.24081285,1
0.7469156,1
0.53075993,1
0.47777906,0
0.34752062,0
0.48331168,0
0.68789643,0
0.08610413,0
0.31294507,1
0.87250155,1
0.75352824,1
0.10350473,0
0.75268114,1
0.14790383,0
0.5100069,0
0.87027776,0
0.23698786,0
0.17001748,0
0.80344665,1
0.16940929,0
0.7627869,1
0.60331154,0
0.35496312,0
0.04807134,0
0.041925017,0
0.5151335,0
0.41550133,0
0.25533938,1
0.072661266,0
0.5699739,0
0.7665871,1
0.09620819,0
0.5107537,0
0.70528823,0
0.30341837,0
0.20030618,1
0.8080188,0
0.08509421,0
0.43354723,0
0.29016834,0
0.66500366,1
0.019558039,0
0.31577063,0
0.12596035,0
0.68642974,0
0.8248511,1
0.83181715,1
0.7974386,1
0.010708285,0
0.6626459,0
0.8280174,0
0.4064628,0
0.8013943,1
0.437102,0
0.6436608,0
0.85917294,1
0.49740547,0
0.5571308,0
0.67397344,0
0.8253348,0
0.78931475,1
0.3937296,0
0.084589645,0
0.3440204,0
0.5985315,1
0.2900517,0
0.26596534,0
0.5833361,0
0.19251971,0
0.63022125,1
0.21659456,0
0.3705363,0
0.44407684,0
0.09927478,0
0.59355474,0
0.6742357,1
0.45862785,0
0.15140225,0
0.13035922,0
0.049259942,0
0.5758528,0
0.032703485,0
0.1954,0
0.6981644,0
0.59809035,0
0.6344265,1
0.7502015,1
0.8353819,1
0.1227835,0
0.093699224,0
0.44874147,1
0.63508755,1
0.7265681,0
0.010267963,0
0.03124497,0
0.48547533,1
0.18832912,0
0.09528069,0
0.86253905,0
0.065789886,0
0.12340759,0
0.41504323,0
0.3503123,0
0.016584123,0
0.86010617,0
0.017123764,0
0.8398493,1
0.058080543,0
0.07617053,0
0.6713447,0
0.46086776,0
0.0024202978,0
0.26366502,0
0.6847931,1
0.7678316,0
0.43983164,0
0.5288443,0
0.24093755,0
0.6441253,0
0.12656164,0
0.51015,1
0.7562671,0
0.7602558,0
0.10803185,0
0.81637007,1
0.14716665,0
0.60193115,0
0.15381488,0
0.6983222,1
0.024288744,0
0.7676528,1
0.8016695,0
0.47289667,1
0.12034984,1
0.66113824,1
0.20772693,0
0.60056466,0
0.7247898,0
0.86206686,1
0.25528386,0
0.13117175,0
0.8828712,1
0.095057964,0
0.22076787,0
0.22189756,0
0.8238182,1
0.04042025,0
0.27329028,0
0.3799924,0
0.43374342,0
0.22397786,0
0.8104489,1
0.7881511,0
0.2088144,0
0.18800092,0
0.6213721,1
0.34371996,0
0.0042468426,0
0.27904367,0
0.7701639,0
0.68419814,1
0.74515015,1
0.3407604,0
0.2997024,0
0.09697627,0
0.7866771,0
0.013090711,0
0.66584426,1
0.37704757,0
0.16078864,0
0.39507645,1
0.15478057,0
0.45267358,1
0.07602001,0
0.02967547,0
0.24602309,1
0.59227407,0
0.53614175,0
0.13432197,0
0.5382273,0
0.20569165,0
0.29729745,0
0.8299232,0
0.10320789,0
0.08237351,0
0.24078499,0
0.14710094,0
0.5825314,0
0.79829264,1
0.02603691,0
0.5831782,1
0.38095218,0
0.80731356,1
0.06620399,0
0.84313476,1
0.78810006,1
0.79182106,1
0.44949564,1
0.18730977,0
0.3772838,1
0.27642706,0
0.28918904,0
0.7812154,1
0.78172046,0
0.79901373,0
0.20476484,1
0.5395268,0
0.35017842,0
0.1916818,0
0.41591007,1
0.8140159,1
0.1129507,0
0.1218173,0
0.55582505,0
0.1731094,0
0.061339352,0
0.72342646,0
0.2319512,0
0.23471145,0
0.33226854,1
0.4512912,0
0.007935107,0
0.60009176,1
0.4170737,1
0.08152566,0
0.3789773,0
0.031126771,0
0.055248197,0
0.75229335,0
0.0035407227,0
0.45677108,0
0.8080893,1
0.7337405,0
0.78365034,1
0.25577512,0
0.11644926,0
0.2354131,0
0.40118876,1
0.46632278,0
0.048854616,0
0.8325214,1
0.2085382,0
0.16533092,0
0.4784323,0
0.15339898,0
0.2138514,0
0.84126025,1
0.114465564,0
0.8213037,1
0.8648916,1
0.3216592,0
0.6623531,0
0.15222888,0
0.3523315,0
0.5937057,1
0.8021776,1
0.39425582,0
0.12841038,0
0.18697816,0
0.7962317,0
0.4040521,0
0.13926278,1
0.73903555,1
0.2132084,0
0.34144288,0
0.45608315,0
0.7686087,1
0.017022867,0
0.70815444,1
0.111405075,0
0.59000295,1
0.78655887,0
0.12523945,0
0.119679965,0
0.29793033,0
0.85488003,0
0.082167506,0
0.32769686,0
0.72371846,1
0.26365572,0
0.70060635,1
0.89309925,1
0.67457235,0
0.038355798,0
0.14212553,0
0.84225667,1
0.045932584,0
0.75672376,1
0.80305946,1
0.09534839,0
0.6517159,1
0.23445493,0
0.83082575,1
